,Zones,Value,Occupancy Type,Unit
414,Zone 3,746.133275898,Working Hours,CO2 [ppm]
415,Zone 3,743.421818608,Working Hours,CO2 [ppm]
416,Zone 3,747.417650403,Working Hours,CO2 [ppm]
417,Zone 3,750.557232527,Working Hours,CO2 [ppm]
418,Zone 3,753.268689817,Working Hours,CO2 [ppm]
419,Zone 3,756.55098022,Working Hours,CO2 [ppm]
420,Zone 3,759.048375092,Working Hours,CO2 [ppm]
421,Zone 3,760.951152137,Working Hours,CO2 [ppm]
422,Zone 3,760.261395458,Working Hours,CO2 [ppm]
423,Zone 3,761.973894798,Working Hours,CO2 [ppm]
424,Zone 3,759.940301832,Working Hours,CO2 [ppm]
425,Zone 3,754.267647766,Working Hours,CO2 [ppm]
426,Zone 3,756.979105055,Working Hours,CO2 [ppm]
427,Zone 3,763.258269304,Working Hours,CO2 [ppm]
428,Zone 3,767.254101099,Working Hours,CO2 [ppm]
429,Zone 3,766.540559707,Working Hours,CO2 [ppm]
430,Zone 3,768.96660044,Working Hours,CO2 [ppm]
431,Zone 3,763.400977582,Working Hours,CO2 [ppm]
432,Zone 3,762.021464225,Working Hours,CO2 [ppm]
433,Zone 3,763.258269304,Working Hours,CO2 [ppm]
434,Zone 3,764.257227253,Working Hours,CO2 [ppm]
435,Zone 3,766.659483272,Working Hours,CO2 [ppm]
436,Zone 3,763.971810696,Working Hours,CO2 [ppm]
437,Zone 3,760.97493685,Working Hours,CO2 [ppm]
438,Zone 3,764.281011966,Working Hours,CO2 [ppm]
439,Zone 3,762.402019633,Working Hours,CO2 [ppm]
440,Zone 3,761.545769963,Working Hours,CO2 [ppm]
441,Zone 4,1484.18208673,Working Hours,CO2 [ppm]
442,Zone 4,1468.34424191,Working Hours,CO2 [ppm]
443,Zone 4,1490.50016831,Working Hours,CO2 [ppm]
444,Zone 4,1493.40351227,Working Hours,CO2 [ppm]
445,Zone 4,1497.40554054,Working Hours,CO2 [ppm]
446,Zone 4,1513.05095535,Working Hours,CO2 [ppm]
447,Zone 4,1511.9521957,Working Hours,CO2 [ppm]
448,Zone 4,1544.99047517,Working Hours,CO2 [ppm]
449,Zone 4,1587.86734615,Working Hours,CO2 [ppm]
450,Zone 4,1619.93601002,Working Hours,CO2 [ppm]
451,Zone 4,1587.57988311,Working Hours,CO2 [ppm]
452,Zone 4,1590.0076704,Working Hours,CO2 [ppm]
453,Zone 4,1592.75070906,Working Hours,CO2 [ppm]
454,Zone 4,1551.56259839,Working Hours,CO2 [ppm]
455,Zone 4,1536.03141377,Working Hours,CO2 [ppm]
